Umur,Jenis Kelamin,Wilayah,Lembaga,Tanggapan
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Perutnya sering sakit karena makan indomie
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Makan-makanan siap/cepat saji
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Belajar di sekolah
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Bersih-bersih di rumah
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Terkadang juga memasak
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Bekerja dan membantu memberihkan rumah warga dan membatu membersihkan sekolah dan belajar di sekolah
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Membersihkan sisa banjir dengan tangan
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Sering menulis tanpa meja di sekolah
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Tangan jadi sakit karena membersihkan lumpur
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Pada saat bencana jalan kaki dari rumah ketempat pengungsian
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Belanja makanan pada saat bencana tanpa kendaraan
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Ke sekolah dan berangkat kerja bakti membantu membersihkan rumah warga dan bekerja mencari uang
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Jalan kaki ke simpang rumah karena jalannya rusak
15 sampai 17 tahun,Laki laki,Tapteng,WVI,Waktu mati lampu seminggu jalan kaki jauh mengisi daya HP
